,dates,opens,highs,lows,closes,PCT_RETURN,LOG_RETURNS,CUM_LOG_RETURNS,Base Volume BTC,Quote Volume USD,Trendline,SmoothPrice,HULL_55,HULL_180,HULL_55_TREND,HULL_180_TREND,SMA_20,SMA_50,SMA_100,SMA_200,SMA_Short_Term_Trend,SMA_Long_Term_Trend,SMA_Trend_Strength,EMA_20,EMA_50,EMA_100,EMA_200,EMA_Short_Term_Trend,EMA_Long_Term_Trend,EMA_Trend_Strength
906,2023-03-31 00:00:00+00:00,28034.88,28650.2,27512.97,28474.4,1.5655876054200046,0.015534587111844649,0.987900524963013,18917.3621471,"538,660,536.72",27732.478251532255,28199.727000000003,27798.20978959665,26136.470345424663,Bull,Bull,26854.233500000002,24468.694,22258.3875,20350.38845,Bull,Bull,Weak,26763.921967440536,24885.837883878277,23145.642876569458,22688.93389583404,Bull,Bull,Weak
907,2023-04-01 00:00:00+00:00,28475.41,28826.45,28223.76,28471.46,-0.010325063917071553,-0.00010325596988489637,0.987797268993128,6988.04239657,"198,959,769.57",27744.48587703302,28373.953999999998,28096.879974970794,26297.04284282517,Bull,Bull,27166.8525,24605.5438,22374.947,20391.87185,Bull,Bull,Weak,26926.544637208102,25026.45051588305,23251.104601785904,22746.471469009823,Bull,Bull,Weak
908,2023-04-02 00:00:00+00:00,28471.03,28544.21,27862.69,28188.34,-0.9943993037237919,-0.00999376476401703,0.977803504229111,6707.97702984,"189,086,737.23",27781.221729137433,28315.201999999997,28376.28161550024,26454.08551318064,Bull,Bull,27365.269500000002,24732.036,22489.0583,20431.6747,Bull,Bull,Weak,27046.715624140666,25150.446181926854,23348.8716393743,22800.619414591816,Bull,Bull,Weak
909,2023-04-03 00:00:00+00:00,28188.34,28525.0,27227.61,27811.77,-1.3359069743021368,-0.013449104871347465,0.9643543993577636,16192.03702141,"450,329,209.47",27831.048830958287,28122.942000000003,28624.645845083487,26605.662795406275,Bull,Bull,27517.7255,24852.4754,22598.804799999998,20472.2152,Bull,Bull,Weak,27119.57794565108,25254.81182185129,23437.245864337183,22850.481609471502,Bull,Bull,Weak
910,2023-04-04 00:00:00+00:00,27809.55,28450.0,27670.24,28179.64,1.3227133691958493,0.013140418980205666,0.9774948183379693,13261.95025317,"373,716,983.83",27908.394218632006,28100.201,28848.645866926054,26753.642678406177,Bull,Bull,27707.849500000004,24980.2854,22712.311,20514.108200000002,Bull,Bull,Weak,27220.53623654145,25369.510966092417,23531.154659102784,22903.508061118555,Bull,Bull,Weak
911,2023-04-05 00:00:00+00:00,28178.66,28799.99,27817.32,28175.37,-0.015152784066796432,-0.00015153932217107263,0.9773432790157982,15066.72449529,"424,510,537.34",28006.782250186174,28105.228000000003,29043.331119425544,26897.682713442184,Bull,Bull,27864.0255,25099.667400000002,22824.885100000003,20554.4182,Bull,Bull,Weak,27311.472785442264,25479.544653696637,23623.119319318568,22955.96439881887,Bull,Bull,Weak
912,2023-04-06 00:00:00+00:00,28175.27,28199.11,27716.77,28053.46,-0.4326828716002651,-0.004336216528796791,0.9730070624870014,10291.78500534,"288,720,178.98",28104.01623534939,28091.1,29203.699912913144,27037.267698894684,Bull,Bull,27894.017499999998,25174.1558,22938.4324,20597.5973,Bull,Bull,Weak,27382.138234447764,25580.482510414415,23710.848837747904,23006.685748084354,Bull,Bull,Weak
913,2023-04-07 00:00:00+00:00,28052.74,28120.71,27790.21,27931.94,-0.43317294907651016,-0.004341138612633953,0.9686659238743675,5847.77200458,"163,339,616.77",28194.19171067003,28041.852000000003,29324.49190398028,27171.632318757453,Bull,Bull,27941.596999999998,25262.4716,23052.3552,20639.5551,Bull,Bull,Weak,27434.500307357503,25672.69652961385,23794.434801356856,23055.69325307854,Bull,Bull,Weak
914,2023-04-08 00:00:00+00:00,27930.12,28175.89,27881.01,27958.81,0.0961981158487557,0.0009615187511405906,0.969627442625508,3854.33490363,"107,762,617.25",28253.704747650532,27991.335,29407.548672687757,27300.76165224831,Bull,Bull,27936.8145,25330.0958,23165.6679,20684.9646,Bull,Bull,Weak,27484.434563799645,25762.34803825645,23876.89767657751,23104.480484391195,Bull,Bull,Weak
915,2023-04-09 00:00:00+00:00,27958.19,28547.67,27814.0,28340.99,1.3669394369788979,0.013576810950615725,0.9832042535761237,6136.4286229,"173,912,462.24",28273.55327458138,28115.773000000005,29466.413336958012,27426.49931005566,Bull,Bull,27962.697999999997,25404.191000000003,23283.076799999995,20734.356350000002,Bull,Bull,Weak,27566.011272009204,25863.471252442472,23965.295544368055,23156.58505668581,Bull,Bull,Weak
